id,fecha_generacion,juego,numeros,sorteo_objetivo,estado,aciertos,score_afinidad,hora_dia,algoritmo,nota_especial,fecha_lanzamiento
1768377224,2026-01-14 04:53:44,LOTO,"[2, 12, 13, 21, 30, 41]",5374,PENDIENTE,0,0.0,4,forense_biometrico_v1,,
1768380543,2026-01-14 05:32:23,LOTO4,"[5, 12, 18, 19]",11562,AUDITADO,1,0.0,5,forense_biometrico_v1,,
1768391696,2026-01-14 08:46:42,LOTO,"[1, 7, 17, 33, 37, 40]",5374,PENDIENTE,0,70.0,8,oraculo_neural_v4,NORMAL,
1768380672,2026-01-14 05:32:23,LOTO4,"[6, 7, 15, 22]",11562,AUDITADO,1,0.0,5,consenso_meritocratico_v2,,
1768376993,2026-01-14 04:38:13,LOTO3,"[3, 4, 4]",23989,AUDITADO,2,66.67,4,forense_biometrico_v1,,
1768389482,2026-01-14 07:58:33,RACHA,"[1, 2, 3, 7, 11, 12, 13, 14, 15, 18]",10295,AUDITADO,6,15.0,7,consenso_meritocratico_v2,,
1768382759,2026-01-14 06:02:39,RACHA,"[4, 5, 8, 10, 11, 12, 13, 15, 16, 19]",10295,AUDITADO,7,40.0,6,forense_biometrico_v1,,
1768389713,2026-01-14 07:58:33,RACHA,"[2, 5, 7, 8, 9, 10, 11, 14, 15, 20]",10295,AUDITADO,6,15.0,7,forense_biometrico_v1,,
1768387162,2026-01-14 07:36:00,LOTO,"[6, 7, 12, 17, 27, 37]",5374,PENDIENTE,0,0.0,7,delta_dna_v1,,
1768373041,2026-01-14 03:35:47,LOTO,"[1, 7, 17, 33, 37, 40]",5374,PENDIENTE,0,70.0,3,oraculo_neural_v4,NORMAL,
1768388616,2026-01-14 07:58:33,LOTO,"[11, 12, 20, 28, 34, 41]",5374,PENDIENTE,0,0.0,7,markov_chain_v1,,
1768384744,2026-01-14 06:43:36,LOTO,"[5, 26, 28, 31, 40, 41]",5374,PENDIENTE,0,50.0,6,oraculo_neural_v3,NORMAL,
1768385219,2026-01-14 06:58:45,LOTO,"[1, 7, 17, 33, 37, 40]",5374,PENDIENTE,0,70.0,6,oraculo_neural_v4,NORMAL,
1768377325,2026-01-14 04:53:44,LOTO,"[3, 11, 13, 14, 28, 40]",5374,PENDIENTE,0,0.0,4,gaussiano_inteligente_v1,,
1768388049,2026-01-14 07:36:00,LOTO3,"[1, 5, 8]",23989,AUDITADO,1,10.0,7,consenso_meritocratico_v2,,
1768377527,2026-01-14 04:53:44,LOTO,"[11, 12, 20, 28, 34, 41]",5374,PENDIENTE,0,0.0,4,markov_chain_v1,,
1768373636,2026-01-14 03:35:47,LOTO3,"[5, 8, 9]",23989,AUDITADO,1,10.0,3,consenso_meritocratico_v2,,
1768388414,2026-01-14 07:58:33,LOTO,"[4, 5, 11, 30, 32, 41]",5374,PENDIENTE,0,0.0,7,gaussiano_inteligente_v1,,
1768392261,2026-01-14 08:46:42,LOTO,"[3, 7, 12, 19, 20, 28]",5374,PENDIENTE,0,31.2,8,consenso_meritocratico_v2,,
1768380602,2026-01-14 05:32:23,LOTO,"[7, 17, 20, 28, 33, 40]",5374,PENDIENTE,0,31.05,5,consenso_meritocratico_v2,,
1768391367,2026-01-14 08:29:58,RACHA,"[1, 2, 4, 7, 10, 13, 14, 17, 19, 20]",10295,AUDITADO,5,5.0,8,consenso_meritocratico_v2,,
1768391202,2026-01-14 08:46:42,LOTO,"[5, 11, 12, 30, 38, 41]",5374,PENDIENTE,0,0.0,8,forense_biometrico_v1,,
1768380712,2026-01-14 05:32:23,RACHA,"[1, 3, 5, 6, 7, 12, 13, 17, 18, 19]",10295,AUDITADO,4,15.0,5,consenso_meritocratico_v2,,
1768384875,2026-01-14 06:43:36,LOTO,"[11, 17, 20, 28, 40, 41]",5374,PENDIENTE,0,32.22,6,consenso_meritocratico_v2,,
1768392291,2026-01-14 08:46:42,LOTO3,"[0, 4, 5]",23989,AUDITADO,2,66.67,8,consenso_meritocratico_v2,,
1768391257,2026-01-14 08:29:58,LOTO,"[7, 12, 17, 23, 33, 37]",5374,PENDIENTE,0,31.05,8,consenso_meritocratico_v2,,
1768374359,2026-01-14 04:02:37,LOTO,"[3, 14, 17, 23, 24, 30]",5374,PENDIENTE,0,0.0,4,delta_dna_v1,,
1768377221,2026-01-14 04:38:13,LOTO,"[5, 7, 8, 13, 26, 28]",5374,PENDIENTE,0,50.0,4,oraculo_neural_v3,NORMAL,
1768385784,2026-01-14 06:58:45,LOTO,"[1, 7, 10, 17, 27, 28]",5374,PENDIENTE,0,31.26,6,consenso_meritocratico_v2,,
1768387888,2026-01-14 07:36:00,LOTO,"[2, 9, 10, 19, 23, 30]",5374,PENDIENTE,0,50.0,7,oraculo_neural_v3,NORMAL,
1768388019,2026-01-14 07:36:00,LOTO,"[1, 12, 17, 20, 33, 40]",5374,PENDIENTE,0,24.95,7,consenso_meritocratico_v2,,
1768388089,2026-01-14 07:36:00,LOTO4,"[11, 12, 20, 22]",11562,AUDITADO,1,0.0,7,consenso_meritocratico_v2,,
1768372850,2026-01-14 03:35:47,LOTO,"[11, 12, 20, 28, 34, 41]",5374,PENDIENTE,0,0.0,3,markov_chain_v1,,
1768390692,2026-01-14 08:29:58,LOTO,"[1, 7, 17, 33, 37, 40]",5374,PENDIENTE,0,70.0,8,oraculo_neural_v4,NORMAL,
1768383816,2026-01-14 06:43:36,LOTO,"[11, 12, 22, 29, 31, 38]",5374,PENDIENTE,0,0.0,6,forense_biometrico_v1,,
1768382287,2026-01-14 06:02:39,LOTO,"[8, 10, 11, 23, 32, 41]",5374,PENDIENTE,0,50.0,6,oraculo_neural_v3,NORMAL,
1768384119,2026-01-14 06:43:36,LOTO,"[11, 12, 20, 28, 34, 41]",5374,PENDIENTE,0,0.0,6,markov_chain_v1,,
1768385653,2026-01-14 06:58:45,LOTO,"[2, 10, 13, 19, 27, 28]",5374,PENDIENTE,0,50.0,6,oraculo_neural_v3,NORMAL,
1768378353,2026-01-14 04:53:44,LOTO4,"[1, 5, 11, 22]",11562,AUDITADO,1,0.0,4,consenso_meritocratico_v2,,
1768372648,2026-01-14 03:35:47,LOTO,"[6, 10, 29, 31, 37, 38]",5374,PENDIENTE,0,0.0,3,gaussiano_inteligente_v1,,
1768373676,2026-01-14 03:35:47,LOTO4,"[8, 9, 13, 17]",11562,AUDITADO,0,0.0,3,consenso_meritocratico_v2,,
1768386125,2026-01-14 06:58:45,RACHA,"[1, 2, 6, 7, 10, 11, 14, 17, 18, 19]",10295,AUDITADO,5,5.0,6,forense_biometrico_v1,,
1768376495,2026-01-14 04:38:13,LOTO,"[2, 5, 10, 13, 15, 16]",5374,PENDIENTE,0,0.0,4,delta_dna_v1,,
1768384516,2026-01-14 06:43:36,LOTO3,"[4, 5, 8]",23989,AUDITADO,2,20.0,6,forense_biometrico_v1,,
1768389442,2026-01-14 07:58:33,LOTO4,"[8, 16, 20, 21]",11562,AUDITADO,0,0.0,7,consenso_meritocratico_v2,,
1768375157,2026-01-14 04:02:37,LOTO4,"[5, 6, 17, 20]",11562,AUDITADO,0,0.0,4,forense_biometrico_v1,,
1768382488,2026-01-14 06:02:39,LOTO4,"[8, 13, 16, 17]",11562,AUDITADO,0,0.0,6,consenso_meritocratico_v2,,
1768391902,2026-01-14 08:46:42,LOTO3,"[3, 4, 8]",23989,AUDITADO,2,66.67,8,forense_biometrico_v1,,
1768378152,2026-01-14 04:53:44,LOTO,"[14, 17, 23, 28, 29, 34]",5374,PENDIENTE,0,50.0,4,oraculo_neural_v3,NORMAL,
1768389013,2026-01-14 07:58:33,LOTO3,"[3, 4, 4]",23989,AUDITADO,2,66.67,7,forense_biometrico_v1,,
1768391303,2026-01-14 08:46:42,LOTO,"[8, 10, 13, 29, 36, 37]",5374,PENDIENTE,0,0.0,8,gaussiano_inteligente_v1,,
1768382359,2026-01-14 06:02:39,LOTO4,"[5, 6, 15, 23]",11562,AUDITADO,1,0.0,6,forense_biometrico_v1,,
1768376787,2026-01-14 04:38:13,LOTO,"[1, 7, 17, 33, 37, 40]",5374,PENDIENTE,0,70.0,4,oraculo_neural_v4,NORMAL,
1768374258,2026-01-14 04:02:37,LOTO,"[10, 13, 23, 31, 32, 35]",5374,PENDIENTE,0,0.0,4,gaussiano_inteligente_v1,,
1768391505,2026-01-14 08:46:42,LOTO,"[11, 12, 20, 28, 34, 41]",5374,PENDIENTE,0,0.0,8,markov_chain_v1,,
1768382448,2026-01-14 06:02:39,LOTO3,"[0, 5, 6]",23989,AUDITADO,1,10.0,6,consenso_meritocratico_v2,,
1768384018,2026-01-14 06:43:36,LOTO,"[3, 4, 6, 11, 17, 22]",5374,PENDIENTE,0,0.0,6,delta_dna_v1,,
1768387660,2026-01-14 07:36:00,LOTO3,"[0, 5, 6]",23989,AUDITADO,1,10.0,7,forense_biometrico_v1,,
1768379644,2026-01-14 05:32:23,LOTO,"[5, 11, 14, 16, 17, 24]",5374,PENDIENTE,0,0.0,5,gaussiano_inteligente_v1,,
